b results.data 5 1 1
d CPAI08 coloring CSP_TO_SAT_DIRECT UNSAT normalized-myciel-5g-5-ext.xml normalized-myciel-5g-5-ext.cnf
i 47 236 1 1 0 0
i 235 1697 0 1650 0 47
r choco glucose 14.316 24.876
r choco lingeling 14.316 56.50
r choco minisat 14.316 16.824
r choco picosat 14.316 115.508
r choco cadical 14.316 27.863
d CPAI08 coloring CSP_TO_SAT_DIRECT SAT normalized-le-450-5a-5-ext.xml normalized-le-450-5a-5-ext.cnf
i 450 5714 1 1 0 0
i 2250 33520 0 33070 0 450
r choco glucose 8.152 0.34
r choco lingeling 8.152 0.33
r choco minisat 8.152 0.076
r choco picosat 8.152 0.036
r choco cadical 8.152 0.057
d CPAI08 coloring CSP_TO_SAT_DIRECT UNSAT normalized-le-450-5a-4-ext.xml normalized-le-450-5a-4-ext.cnf
i 450 5714 1 1 0 0
i 1800 26006 0 25556 0 450
r choco glucose 2.096 0.051
r choco lingeling 2.096 0.018
r choco minisat 2.096 0.042
r choco picosat 2.096 0.016
r choco cadical 2.096 0.042
d CPAI08 geom CSP_TO_SAT_DIRECT UNSAT normalized-geo50-20-d4-75-94_ext.xml normalized-geo50-20-d4-75-94_ext.cnf
i 50 496 1 496 0 0
i 1000 59157 0 59107 0 50
r choco glucose 47.836 343.7
r choco lingeling 47.836 900
r choco minisat 47.836 857.016
r choco picosat 47.836 900
r choco cadical 47.836 243.624
d CPAI08 geom CSP_TO_SAT_DIRECT SAT normalized-geo50-20-d4-75-19_ext.xml normalized-geo50-20-d4-75-19_ext.cnf
i 50 498 1 498 0 0
i 1000 59246 0 59196 0 50
r choco glucose 33.764 78.876
r choco lingeling 33.764 108.638
r choco minisat 33.764 16.892
r choco picosat 33.764 900
r choco caldical 33.764 78.252
d CPAI08 geom CSP_TO_SAT_DIRECT SAT normalized-geo50-20-d4-75-46_ext.xml normalized-geo50-20-d4-75-46_ext.cnf
i 50 433 1 433 0 0
i 1000 52787 0 52737 0 50
r choco glucose 3.328 53.025
r choco lingeling 3.328 85.552
r choco minisat 3.328 17.536
r choco picosat 3.328 87.054
r choco cadical 3.328 77.600
d SAT09 aprove09 SAT_TO_3SAT UNSAT AProVE09-20.cnf AProVE09-20_3sat.cnf
i 33054 108377 2 51324 55013 2038
i 35920 111243 0 0 111243 0
r glucose glucose 38.244 33.916
r glucose lingeling 38.244 22.568
r glucose minisat 38.244 31.136
r glucose cadical 38.244 25.096
r lingeling glucose 28.828 33.916
r lingeling lingeling 28.828 22.568
r lingeling minisat 28.828 31.136
r lingeling cadical 28.828 25.096
r minisat glucose 39.576 33.916
r minisat lingeling 39.576 22.568
r minisat minisat 39.576 31.136
r minisat cadical 39.576 25.096
r cadical glucose 42.996 33.916
r cadical lingeling 42.996 22.568
r cadical minisat 42.996 31.136
r cadical cadical 42.996 25.096
d SAT09 bitverif(countbitsarray) SAT_TO_3SAT UNSAT countbitsarray02_32.cnf countbitsarray02_32_3sat.cnf
i 4252 12563 2 8374 4187 0
i 4252 12563 0 0 12563 0
r glucose glucose 341.950 389.440
r glucose lingeling 341.950 495.312
r glucose minisat 341.950 900.0
r glucose cadical 341.950 44.116
r lingeling glucose 403.836 389.440
r lingeling lingeling 403.836 495.312
r lingeling minisat 403.836 900.0
r lingeling cadical 403.836 44.116
r minisat glucose 900 389.440
r minisat lingeling 900 495.312
r minisat minisat 900 900.0
r minisat cadical 900 44.116
r cadical glucose 43.964 389.440
r cadical lingeling 43.964 495.312
r cadical minisat 43.964 900.0
r cadical cadical 43.964 44.116
